分拣中心,日期,班次,出勤正式工编号,类型
SC60,2023/12/09,16:00-24:00,4,正式工
SC60,2023/12/11,05:00-13:00,4,正式工
SC60,2023/12/12,12:00-20:00,4,正式工
SC60,2023/12/13,05:00-13:00,4,正式工
SC60,2023/12/16,12:00-20:00,4,正式工
SC60,2023/12/18,12:00-20:00,4,正式工
SC60,2023/12/20,05:00-13:00,4,正式工
SC60,2023/12/21,00:00-08:00,4,正式工
SC60,2023/12/22,12:00-20:00,4,正式工
SC60,2023/12/24,08:00-16:00,4,正式工
SC60,2023/12/25,12:00-20:00,4,正式工
SC60,2023/12/26,05:00-13:00,4,正式工
SC60,2023/12/28,05:00-13:00,4,正式工
SC60,2023/12/01,14:00-22:00,5,正式工
SC60,2023/12/02,12:00-20:00,5,正式工
SC60,2023/12/03,05:00-13:00,5,正式工
SC60,2023/12/04,00:00-08:00,5,正式工
SC60,2023/12/05,14:00-22:00,5,正式工
SC60,2023/12/06,12:00-20:00,5,正式工
SC60,2023/12/08,05:00-13:00,5,正式工
SC60,2023/12/09,00:00-08:00,5,正式工
SC60,2023/12/11,12:00-20:00,5,正式工
SC60,2023/12/12,16:00-24:00,5,正式工
SC60,2023/12/13,05:00-13:00,5,正式工
SC60,2023/12/15,16:00-24:00,5,正式工
SC60,2023/12/16,05:00-13:00,5,正式工
SC60,2023/12/17,16:00-24:00,5,正式工
SC60,2023/12/18,16:00-24:00,5,正式工
SC60,2023/12/19,16:00-24:00,5,正式工
SC60,2023/12/20,16:00-24:00,5,正式工
SC60,2023/12/21,16:00-24:00,5,正式工
SC60,2023/12/23,16:00-24:00,5,正式工
SC60,2023/12/24,14:00-22:00,5,正式工
SC60,2023/12/26,05:00-13:00,5,正式工
SC60,2023/12/27,08:00-16:00,5,正式工
SC60,2023/12/29,12:00-20:00,5,正式工
SC60,2023/12/03,12:00-20:00,6,正式工
SC60,2023/12/04,05:00-13:00,6,正式工
SC60,2023/12/05,16:00-24:00,6,正式工
SC60,2023/12/07,14:00-22:00,6,正式工
SC60,2023/12/08,08:00-16:00,6,正式工
SC60,2023/12/09,14:00-22:00,6,正式工
SC60,2023/12/12,14:00-22:00,6,正式工
SC60,2023/12/13,16:00-24:00,6,正式工
SC60,2023/12/15,14:00-22:00,6,正式工
SC60,2023/12/16,08:00-16:00,6,正式工
SC60,2023/12/18,16:00-24:00,6,正式工
SC60,2023/12/19,08:00-16:00,6,正式工
SC60,2023/12/20,00:00-08:00,6,正式工
SC60,2023/12/21,14:00-22:00,6,正式工
SC60,2023/12/25,05:00-13:00,6,正式工
SC60,2023/12/27,08:00-16:00,6,正式工
SC60,2023/12/28,00:00-08:00,6,正式工
SC60,2023/12/29,16:00-24:00,6,正式工
SC60,2023/12/30,12:00-20:00,6,正式工
SC60,2023/12/01,16:00-24:00,7,正式工
SC60,2023/12/03,00:00-08:00,7,正式工
SC60,2023/12/05,08:00-16:00,7,正式工
SC60,2023/12/08,05:00-13:00,7,正式工
SC60,2023/12/09,14:00-22:00,7,正式工
SC60,2023/12/10,00:00-08:00,7,正式工
SC60,2023/12/11,14:00-22:00,7,正式工
SC60,2023/12/12,14:00-22:00,7,正式工
SC60,2023/12/13,08:00-16:00,7,正式工
SC60,2023/12/15,14:00-22:00,7,正式工
SC60,2023/12/16,14:00-22:00,7,正式工
SC60,2023/12/17,08:00-16:00,7,正式工
SC60,2023/12/19,16:00-24:00,7,正式工
SC60,2023/12/21,12:00-20:00,7,正式工
SC60,2023/12/23,16:00-24:00,7,正式工
SC60,2023/12/24,14:00-22:00,7,正式工
SC60,2023/12/25,05:00-13:00,7,正式工
SC60,2023/12/26,12:00-20:00,7,正式工
SC60,2023/12/27,00:00-08:00,7,正式工
SC60,2023/12/28,08:00-16:00,7,正式工
SC60,2023/12/29,05:00-13:00,7,正式工
SC60,2023/12/01,08:00-16:00,8,正式工
SC60,2023/12/02,16:00-24:00,8,正式工
SC60,2023/12/03,14:00-22:00,8,正式工
SC60,2023/12/04,08:00-16:00,8,正式工
SC60,2023/12/05,00:00-08:00,8,正式工
SC60,2023/12/06,08:00-16:00,8,正式工
SC60,2023/12/07,05:00-13:00,8,正式工
SC60,2023/12/09,00:00-08:00,8,正式工
SC60,2023/12/10,00:00-08:00,8,正式工
SC60,2023/12/11,05:00-13:00,8,正式工
SC60,2023/12/12,08:00-16:00,8,正式工
SC60,2023/12/14,00:00-08:00,8,正式工
SC60,2023/12/15,14:00-22:00,8,正式工
SC60,2023/12/17,14:00-22:00,8,正式工
SC60,2023/12/18,12:00-20:00,8,正式工
SC60,2023/12/19,05:00-13:00,8,正式工
SC60,2023/12/20,14:00-22:00,8,正式工
SC60,2023/12/21,14:00-22:00,8,正式工
SC60,2023/12/22,08:00-16:00,8,正式工
SC60,2023/12/23,08:00-16:00,8,正式工
SC60,2023/12/29,00:00-08:00,8,正式工
SC60,2023/12/30,00:00-08:00,8,正式工
SC60,2023/12/03,05:00-13:00,9,正式工
SC60,2023/12/06,00:00-08:00,9,正式工
SC60,2023/12/07,14:00-22:00,9,正式工
SC60,2023/12/13,16:00-24:00,9,正式工
SC60,2023/12/14,16:00-24:00,9,正式工
SC60,2023/12/19,12:00-20:00,9,正式工
SC60,2023/12/20,08:00-16:00,9,正式工
SC60,2023/12/22,00:00-08:00,9,正式工
SC60,2023/12/23,05:00-13:00,9,正式工
SC60,2023/12/25,00:00-08:00,9,正式工
SC60,2023/12/26,00:00-08:00,9,正式工
SC60,2023/12/28,16:00-24:00,9,正式工
SC60,2023/12/01,12:00-20:00,10,正式工
SC60,2023/12/04,05:00-13:00,10,正式工
SC60,2023/12/05,12:00-20:00,10,正式工
SC60,2023/12/06,08:00-16:00,10,正式工
SC60,2023/12/08,05:00-13:00,10,正式工
SC60,2023/12/09,14:00-22:00,10,正式工
SC60,2023/12/10,12:00-20:00,10,正式工
SC60,2023/12/11,05:00-13:00,10,正式工
SC60,2023/12/12,14:00-22:00,10,正式工
SC60,2023/12/13,08:00-16:00,10,正式工
SC60,2023/12/14,05:00-13:00,10,正式工
SC60,2023/12/16,14:00-22:00,10,正式工
SC60,2023/12/19,05:00-13:00,10,正式工
SC60,2023/12/20,00:00-08:00,10,正式工
SC60,2023/12/21,12:00-20:00,10,正式工
SC60,2023/12/22,05:00-13:00,10,正式工
SC60,2023/12/23,12:00-20:00,10,正式工
SC60,2023/12/26,14:00-22:00,10,正式工
SC60,2023/12/27,16:00-24:00,10,正式工
SC60,2023/12/29,08:00-16:00,10,正式工
SC60,2023/12/04,14:00-22:00,11,正式工
SC60,2023/12/06,08:00-16:00,11,正式工
SC60,2023/12/08,16:00-24:00,11,正式工
SC60,2023/12/10,08:00-16:00,11,正式工
SC60,2023/12/11,05:00-13:00,11,正式工
SC60,2023/12/12,05:00-13:00,11,正式工
SC60,2023/12/14,08:00-16:00,11,正式工
SC60,2023/12/15,14:00-22:00,11,正式工
SC60,2023/12/17,16:00-24:00,11,正式工
SC60,2023/12/20,08:00-16:00,11,正式工
SC60,2023/12/22,14:00-22:00,11,正式工
SC60,2023/12/24,14:00-22:00,11,正式工
SC60,2023/12/26,16:00-24:00,11,正式工
SC60,2023/12/27,05:00-13:00,11,正式工
SC60,2023/12/30,12:00-20:00,11,正式工
SC60,2023/12/01,08:00-16:00,12,正式工
SC60,2023/12/02,05:00-13:00,12,正式工
SC60,2023/12/07,16:00-24:00,12,正式工
SC60,2023/12/08,08:00-16:00,12,正式工
SC60,2023/12/09,16:00-24:00,12,正式工
SC60,2023/12/11,05:00-13:00,12,正式工
SC60,2023/12/12,12:00-20:00,12,正式工
SC60,2023/12/13,12:00-20:00,12,正式工
SC60,2023/12/15,05:00-13:00,12,正式工
SC60,2023/12/16,05:00-13:00,12,正式工
SC60,2023/12/17,14:00-22:00,12,正式工
SC60,2023/12/18,08:00-16:00,12,正式工
SC60,2023/12/21,16:00-24:00,12,正式工
SC60,2023/12/22,08:00-16:00,12,正式工
SC60,2023/12/24,08:00-16:00,12,正式工
SC60,2023/12/25,00:00-08:00,12,正式工
SC60,2023/12/26,08:00-16:00,12,正式工
SC60,2023/12/28,00:00-08:00,12,正式工
SC60,2023/12/29,05:00-13:00,12,正式工
SC60,2023/12/30,16:00-24:00,12,正式工
SC60,2023/12/04,16:00-24:00,13,正式工
SC60,2023/12/05,05:00-13:00,13,正式工
SC60,2023/12/06,08:00-16:00,13,正式工
SC60,2023/12/07,08:00-16:00,13,正式工
SC60,2023/12/10,16:00-24:00,13,正式工
SC60,2023/12/11,08:00-16:00,13,正式工
SC60,2023/12/12,12:00-20:00,13,正式工
SC60,2023/12/13,12:00-20:00,13,正式工
SC60,2023/12/14,00:00-08:00,13,正式工
SC60,2023/12/15,00:00-08:00,13,正式工
SC60,2023/12/17,00:00-08:00,13,正式工
SC60,2023/12/18,08:00-16:00,13,正式工
SC60,2023/12/20,16:00-24:00,13,正式工
SC60,2023/12/23,16:00-24:00,13,正式工
SC60,2023/12/24,00:00-08:00,13,正式工
SC60,2023/12/26,12:00-20:00,13,正式工
SC60,2023/12/27,14:00-22:00,13,正式工
SC60,2023/12/29,08:00-16:00,13,正式工
SC60,2023/12/02,14:00-22:00,14,正式工
SC60,2023/12/04,08:00-16:00,14,正式工
SC60,2023/12/06,12:00-20:00,14,正式工
SC60,2023/12/08,16:00-24:00,14,正式工
SC60,2023/12/11,14:00-22:00,14,正式工
SC60,2023/12/12,05:00-13:00,14,正式工
SC60,2023/12/14,14:00-22:00,14,正式工
SC60,2023/12/15,16:00-24:00,14,正式工
SC60,2023/12/17,14:00-22:00,14,正式工
SC60,2023/12/19,08:00-16:00,14,正式工
SC60,2023/12/21,12:00-20:00,14,正式工
SC60,2023/12/23,12:00-20:00,14,正式工
SC60,2023/12/26,16:00-24:00,14,正式工
SC60,2023/12/27,00:00-08:00,14,正式工
SC60,2023/12/29,16:00-24:00,14,正式工
SC60,2023/12/30,08:00-16:00,14,正式工
SC60,2023/12/01,05:00-13:00,15,正式工
SC60,2023/12/04,05:00-13:00,15,正式工
SC60,2023/12/05,12:00-20:00,15,正式工
SC60,2023/12/06,05:00-13:00,15,正式工
SC60,2023/12/08,14:00-22:00,15,正式工
SC60,2023/12/09,08:00-16:00,15,正式工
SC60,2023/12/11,12:00-20:00,15,正式工
SC60,2023/12/12,05:00-13:00,15,正式工
SC60,2023/12/15,14:00-22:00,15,正式工
SC60,2023/12/16,12:00-20:00,15,正式工
SC60,2023/12/17,00:00-08:00,15,正式工
SC60,2023/12/18,05:00-13:00,15,正式工
SC60,2023/12/19,14:00-22:00,15,正式工
SC60,2023/12/20,14:00-22:00,15,正式工
SC60,2023/12/22,00:00-08:00,15,正式工
SC60,2023/12/24,16:00-24:00,15,正式工
SC60,2023/12/25,05:00-13:00,15,正式工
SC60,2023/12/26,00:00-08:00,15,正式工
SC60,2023/12/28,14:00-22:00,15,正式工
SC60,2023/12/29,08:00-16:00,15,正式工
SC60,2023/12/30,00:00-08:00,15,正式工
SC60,2023/12/01,08:00-16:00,16,正式工
SC60,2023/12/02,12:00-20:00,16,正式工
SC60,2023/12/03,08:00-16:00,16,正式工
SC60,2023/12/05,16:00-24:00,16,正式工
SC60,2023/12/06,16:00-24:00,16,正式工
SC60,2023/12/07,12:00-20:00,16,正式工
SC60,2023/12/08,08:00-16:00,16,正式工
SC60,2023/12/09,12:00-20:00,16,正式工
SC60,2023/12/10,08:00-16:00,16,正式工
SC60,2023/12/11,08:00-16:00,16,正式工
SC60,2023/12/14,16:00-24:00,16,正式工
SC60,2023/12/15,05:00-13:00,16,正式工
SC60,2023/12/16,14:00-22:00,16,正式工
SC60,2023/12/17,14:00-22:00,16,正式工
SC60,2023/12/21,12:00-20:00,16,正式工
SC60,2023/12/23,12:00-20:00,16,正式工
SC60,2023/12/25,16:00-24:00,16,正式工
SC60,2023/12/27,08:00-16:00,16,正式工
SC60,2023/12/28,05:00-13:00,16,正式工
SC60,2023/12/30,16:00-24:00,16,正式工
SC60,2023/12/02,00:00-08:00,17,正式工
SC60,2023/12/03,08:00-16:00,17,正式工
SC60,2023/12/06,05:00-13:00,17,正式工
SC60,2023/12/08,08:00-16:00,17,正式工
SC60,2023/12/09,12:00-20:00,17,正式工
SC60,2023/12/12,00:00-08:00,17,正式工
SC60,2023/12/13,14:00-22:00,17,正式工
SC60,2023/12/15,16:00-24:00,17,正式工
SC60,2023/12/16,12:00-20:00,17,正式工
SC60,2023/12/21,14:00-22:00,17,正式工
SC60,2023/12/24,12:00-20:00,17,正式工
SC60,2023/12/25,14:00-22:00,17,正式工
SC60,2023/12/27,12:00-20:00,17,正式工
SC60,2023/12/29,16:00-24:00,17,正式工
SC60,2023/12/02,00:00-08:00,18,正式工
SC60,2023/12/04,05:00-13:00,18,正式工
SC60,2023/12/08,16:00-24:00,18,正式工
SC60,2023/12/09,16:00-24:00,18,正式工
SC60,2023/12/10,00:00-08:00,18,正式工
SC60,2023/12/11,00:00-08:00,18,正式工
SC60,2023/12/12,08:00-16:00,18,正式工
SC60,2023/12/13,16:00-24:00,18,正式工
SC60,2023/12/15,16:00-24:00,18,正式工
SC60,2023/12/16,08:00-16:00,18,正式工
SC60,2023/12/17,12:00-20:00,18,正式工
SC60,2023/12/18,05:00-13:00,18,正式工
SC60,2023/12/20,14:00-22:00,18,正式工
SC60,2023/12/21,08:00-16:00,18,正式工
SC60,2023/12/22,05:00-13:00,18,正式工
SC60,2023/12/23,16:00-24:00,18,正式工
SC60,2023/12/24,14:00-22:00,18,正式工
SC60,2023/12/25,00:00-08:00,18,正式工
SC60,2023/12/26,00:00-08:00,18,正式工
SC60,2023/12/28,16:00-24:00,18,正式工
SC60,2023/12/29,16:00-24:00,18,正式工
SC60,2023/12/30,16:00-24:00,18,正式工
SC60,2023/12/03,16:00-24:00,19,正式工
SC60,2023/12/04,16:00-24:00,19,正式工
SC60,2023/12/07,16:00-24:00,19,正式工
SC60,2023/12/09,05:00-13:00,19,正式工
SC60,2023/12/10,08:00-16:00,19,正式工
SC60,2023/12/12,14:00-22:00,19,正式工
SC60,2023/12/13,12:00-20:00,19,正式工
SC60,2023/12/14,12:00-20:00,19,正式工
SC60,2023/12/19,14:00-22:00,19,正式工
SC60,2023/12/20,05:00-13:00,19,正式工
SC60,2023/12/24,05:00-13:00,19,正式工
SC60,2023/12/27,14:00-22:00,19,正式工
SC60,2023/12/30,16:00-24:00,19,正式工
SC60,2023/12/01,05:00-13:00,20,正式工
SC60,2023/12/05,00:00-08:00,20,正式工
SC60,2023/12/06,14:00-22:00,20,正式工
SC60,2023/12/07,05:00-13:00,20,正式工
SC60,2023/12/12,12:00-20:00,20,正式工
SC60,2023/12/15,14:00-22:00,20,正式工
SC60,2023/12/18,08:00-16:00,20,正式工
SC60,2023/12/19,16:00-24:00,20,正式工
SC60,2023/12/20,16:00-24:00,20,正式工
SC60,2023/12/22,00:00-08:00,20,正式工
SC60,2023/12/24,08:00-16:00,20,正式工
SC60,2023/12/26,12:00-20:00,20,正式工
SC60,2023/12/01,16:00-24:00,21,正式工
SC60,2023/12/03,16:00-24:00,21,正式工
SC60,2023/12/04,05:00-13:00,21,正式工
SC60,2023/12/05,14:00-22:00,21,正式工
SC60,2023/12/06,12:00-20:00,21,正式工
SC60,2023/12/07,08:00-16:00,21,正式工
SC60,2023/12/08,00:00-08:00,21,正式工
SC60,2023/12/11,14:00-22:00,21,正式工
SC60,2023/12/12,05:00-13:00,21,正式工
SC60,2023/12/13,05:00-13:00,21,正式工
SC60,2023/12/15,00:00-08:00,21,正式工
SC60,2023/12/18,14:00-22:00,21,正式工
SC60,2023/12/19,05:00-13:00,21,正式工
SC60,2023/12/20,08:00-16:00,21,正式工
SC60,2023/12/22,05:00-13:00,21,正式工
SC60,2023/12/23,00:00-08:00,21,正式工
SC60,2023/12/25,00:00-08:00,21,正式工
SC60,2023/12/29,12:00-20:00,21,正式工
SC60,2023/12/30,00:00-08:00,21,正式工
SC60,2023/12/01,16:00-24:00,22,正式工
SC60,2023/12/02,14:00-22:00,22,正式工
SC60,2023/12/03,12:00-20:00,22,正式工
SC60,2023/12/04,00:00-08:00,22,正式工
SC60,2023/12/05,12:00-20:00,22,正式工
SC60,2023/12/09,14:00-22:00,22,正式工
SC60,2023/12/10,12:00-20:00,22,正式工
SC60,2023/12/11,00:00-08:00,22,正式工
SC60,2023/12/14,08:00-16:00,22,正式工
SC60,2023/12/15,00:00-08:00,22,正式工
SC60,2023/12/16,08:00-16:00,22,正式工
SC60,2023/12/17,16:00-24:00,22,正式工
SC60,2023/12/18,08:00-16:00,22,正式工
SC60,2023/12/21,14:00-22:00,22,正式工
SC60,2023/12/23,14:00-22:00,22,正式工
SC60,2023/12/25,08:00-16:00,22,正式工
SC60,2023/12/26,14:00-22:00,22,正式工
SC60,2023/12/27,05:00-13:00,22,正式工
SC60,2023/12/28,08:00-16:00,22,正式工
SC60,2023/12/29,08:00-16:00,22,正式工
SC60,2023/12/01,12:00-20:00,23,正式工
SC60,2023/12/02,00:00-08:00,23,正式工
SC60,2023/12/03,14:00-22:00,23,正式工
SC60,2023/12/04,00:00-08:00,23,正式工
SC60,2023/12/05,05:00-13:00,23,正式工
SC60,2023/12/06,12:00-20:00,23,正式工
SC60,2023/12/08,14:00-22:00,23,正式工
SC60,2023/12/09,08:00-16:00,23,正式工
SC60,2023/12/11,14:00-22:00,23,正式工
SC60,2023/12/14,08:00-16:00,23,正式工
SC60,2023/12/16,08:00-16:00,23,正式工
SC60,2023/12/17,00:00-08:00,23,正式工
SC60,2023/12/18,12:00-20:00,23,正式工
SC60,2023/12/20,05:00-13:00,23,正式工
SC60,2023/12/21,16:00-24:00,23,正式工
SC60,2023/12/22,16:00-24:00,23,正式工
SC60,2023/12/23,16:00-24:00,23,正式工
SC60,2023/12/24,12:00-20:00,23,正式工
SC60,2023/12/25,08:00-16:00,23,正式工
SC60,2023/12/26,16:00-24:00,23,正式工
SC60,2023/12/28,14:00-22:00,23,正式工
SC60,2023/12/29,08:00-16:00,23,正式工
SC60,2023/12/30,14:00-22:00,23,正式工
SC60,2023/12/01,16:00-24:00,24,正式工
SC60,2023/12/02,00:00-08:00,24,正式工
SC60,2023/12/03,08:00-16:00,24,正式工
SC60,2023/12/04,05:00-13:00,24,正式工
SC60,2023/12/05,05:00-13:00,24,正式工
SC60,2023/12/06,14:00-22:00,24,正式工
SC60,2023/12/08,12:00-20:00,24,正式工
SC60,2023/12/09,14:00-22:00,24,正式工
SC60,2023/12/12,14:00-22:00,24,正式工
SC60,2023/12/14,12:00-20:00,24,正式工
SC60,2023/12/16,16:00-24:00,24,正式工
SC60,2023/12/17,12:00-20:00,24,正式工
SC60,2023/12/18,08:00-16:00,24,正式工
SC60,2023/12/19,16:00-24:00,24,正式工
SC60,2023/12/20,12:00-20:00,24,正式工
SC60,2023/12/21,12:00-20:00,24,正式工
SC60,2023/12/22,12:00-20:00,24,正式工
SC60,2023/12/25,00:00-08:00,24,正式工
SC60,2023/12/29,00:00-08:00,24,正式工
SC60,2023/12/02,08:00-16:00,25,正式工
SC60,2023/12/03,05:00-13:00,25,正式工
SC60,2023/12/06,00:00-08:00,25,正式工
SC60,2023/12/07,05:00-13:00,25,正式工
SC60,2023/12/11,14:00-22:00,25,正式工
SC60,2023/12/13,14:00-22:00,25,正式工
SC60,2023/12/15,12:00-20:00,25,正式工
SC60,2023/12/16,16:00-24:00,25,正式工
SC60,2023/12/18,08:00-16:00,25,正式工
SC60,2023/12/20,00:00-08:00,25,正式工
SC60,2023/12/21,16:00-24:00,25,正式工
SC60,2023/12/23,05:00-13:00,25,正式工
SC60,2023/12/24,12:00-20:00,25,正式工
SC60,2023/12/26,00:00-08:00,25,正式工
SC60,2023/12/27,12:00-20:00,25,正式工
SC60,2023/12/02,08:00-16:00,26,正式工
SC60,2023/12/04,14:00-22:00,26,正式工
SC60,2023/12/05,08:00-16:00,26,正式工
SC60,2023/12/06,12:00-20:00,26,正式工
SC60,2023/12/07,16:00-24:00,26,正式工
SC60,2023/12/13,14:00-22:00,26,正式工
SC60,2023/12/15,08:00-16:00,26,正式工
SC60,2023/12/17,16:00-24:00,26,正式工
SC60,2023/12/20,12:00-20:00,26,正式工
SC60,2023/12/24,08:00-16:00,26,正式工
SC60,2023/12/25,12:00-20:00,26,正式工
SC60,2023/12/26,16:00-24:00,26,正式工
SC60,2023/12/27,14:00-22:00,26,正式工
SC60,2023/12/01,16:00-24:00,27,正式工
SC60,2023/12/08,16:00-24:00,27,正式工
SC60,2023/12/12,14:00-22:00,27,正式工
SC60,2023/12/13,14:00-22:00,27,正式工
SC60,2023/12/14,14:00-22:00,27,正式工
SC60,2023/12/16,00:00-08:00,27,正式工
SC60,2023/12/20,14:00-22:00,27,正式工
SC60,2023/12/21,12:00-20:00,27,正式工
SC60,2023/12/24,00:00-08:00,27,正式工
SC60,2023/12/27,05:00-13:00,27,正式工
SC60,2023/12/28,08:00-16:00,27,正式工
SC60,2023/12/29,00:00-08:00,27,正式工
SC60,2023/12/30,05:00-13:00,27,正式工
SC60,2023/12/01,16:00-24:00,28,正式工
SC60,2023/12/02,14:00-22:00,28,正式工
SC60,2023/12/03,12:00-20:00,28,正式工
SC60,2023/12/04,12:00-20:00,28,正式工
SC60,2023/12/05,16:00-24:00,28,正式工
SC60,2023/12/06,16:00-24:00,28,正式工
SC60,2023/12/07,00:00-08:00,28,正式工
SC60,2023/12/11,08:00-16:00,28,正式工
SC60,2023/12/12,00:00-08:00,28,正式工
SC60,2023/12/13,00:00-08:00,28,正式工
SC60,2023/12/14,05:00-13:00,28,正式工
SC60,2023/12/15,14:00-22:00,28,正式工
SC60,2023/12/16,08:00-16:00,28,正式工
SC60,2023/12/18,12:00-20:00,28,正式工
SC60,2023/12/20,12:00-20:00,28,正式工
SC60,2023/12/21,16:00-24:00,28,正式工
SC60,2023/12/22,05:00-13:00,28,正式工
SC60,2023/12/23,14:00-22:00,28,正式工
SC60,2023/12/26,16:00-24:00,28,正式工
SC60,2023/12/27,16:00-24:00,28,正式工
SC60,2023/12/30,14:00-22:00,28,正式工
SC60,2023/12/01,12:00-20:00,29,正式工
SC60,2023/12/02,08:00-16:00,29,正式工
SC60,2023/12/05,00:00-08:00,29,正式工
SC60,2023/12/09,12:00-20:00,29,正式工
SC60,2023/12/10,08:00-16:00,29,正式工
SC60,2023/12/14,05:00-13:00,29,正式工
SC60,2023/12/15,14:00-22:00,29,正式工
SC60,2023/12/19,08:00-16:00,29,正式工
SC60,2023/12/21,12:00-20:00,29,正式工
SC60,2023/12/24,00:00-08:00,29,正式工
SC60,2023/12/28,12:00-20:00,29,正式工
SC60,2023/12/29,05:00-13:00,29,正式工
SC60,2023/12/30,00:00-08:00,29,正式工
SC60,2023/12/02,05:00-13:00,30,正式工
SC60,2023/12/03,14:00-22:00,30,正式工
SC60,2023/12/04,05:00-13:00,30,正式工
SC60,2023/12/05,14:00-22:00,30,正式工
SC60,2023/12/06,00:00-08:00,30,正式工
SC60,2023/12/07,05:00-13:00,30,正式工
SC60,2023/12/10,16:00-24:00,30,正式工
SC60,2023/12/11,00:00-08:00,30,正式工
SC60,2023/12/12,08:00-16:00,30,正式工
SC60,2023/12/13,00:00-08:00,30,正式工
SC60,2023/12/14,16:00-24:00,30,正式工
SC60,2023/12/16,05:00-13:00,30,正式工
SC60,2023/12/17,14:00-22:00,30,正式工
SC60,2023/12/21,12:00-20:00,30,正式工
SC60,2023/12/23,12:00-20:00,30,正式工
SC60,2023/12/24,16:00-24:00,30,正式工
SC60,2023/12/26,16:00-24:00,30,正式工
SC60,2023/12/29,12:00-20:00,30,正式工
SC60,2023/12/30,00:00-08:00,30,正式工
SC60,2023/12/04,08:00-16:00,31,正式工
SC60,2023/12/07,16:00-24:00,31,正式工
SC60,2023/12/08,12:00-20:00,31,正式工
SC60,2023/12/09,00:00-08:00,31,正式工
SC60,2023/12/10,00:00-08:00,31,正式工
SC60,2023/12/12,14:00-22:00,31,正式工
SC60,2023/12/14,08:00-16:00,31,正式工
SC60,2023/12/16,14:00-22:00,31,正式工
SC60,2023/12/20,16:00-24:00,31,正式工
SC60,2023/12/22,12:00-20:00,31,正式工
SC60,2023/12/26,12:00-20:00,31,正式工
SC60,2023/12/27,16:00-24:00,31,正式工
SC60,2023/12/28,12:00-20:00,31,正式工
SC60,2023/12/01,14:00-22:00,32,正式工
SC60,2023/12/03,00:00-08:00,32,正式工
SC60,2023/12/04,12:00-20:00,32,正式工
SC60,2023/12/05,12:00-20:00,32,正式工
SC60,2023/12/08,14:00-22:00,32,正式工
SC60,2023/12/10,14:00-22:00,32,正式工
SC60,2023/12/13,16:00-24:00,32,正式工
SC60,2023/12/14,14:00-22:00,32,正式工
SC60,2023/12/18,05:00-13:00,32,正式工
SC60,2023/12/20,14:00-22:00,32,正式工
SC60,2023/12/24,05:00-13:00,32,正式工
