分拣中心,日期,班次,正式工人数,临时工人数,班次货量
SC1,2023/12/13,00:00-08:00,60,14,14133.0
SC1,2023/12/13,05:00-13:00,42,0,8274.0
SC1,2023/12/13,08:00-16:00,44,0,8610.0
SC1,2023/12/13,12:00-20:00,36,0,7191.0
SC1,2023/12/13,14:00-22:00,34,0,6745.0
SC1,2023/12/13,16:00-24:00,54,0,10673.0
SC1,2023/12/14,00:00-08:00,60,7,13076.0
SC1,2023/12/14,05:00-13:00,42,0,8327.0
SC1,2023/12/14,08:00-16:00,44,0,8720.0
SC1,2023/12/14,12:00-20:00,35,0,6949.0
SC1,2023/12/14,14:00-22:00,33,0,6530.0
SC1,2023/12/14,16:00-24:00,52,0,10257.0
SC1,2023/12/15,00:00-08:00,60,11,13700.0
SC1,2023/12/15,05:00-13:00,41,0,8038.0
SC1,2023/12/15,08:00-16:00,45,0,8815.0
SC1,2023/12/15,12:00-20:00,37,0,7349.0
SC1,2023/12/15,14:00-22:00,32,0,6284.0
SC1,2023/12/15,16:00-24:00,50,0,9959.0
SC1,2023/12/16,00:00-08:00,60,8,13133.0
SC1,2023/12/16,05:00-13:00,42,0,8340.0
SC1,2023/12/16,08:00-16:00,49,0,9725.0
SC1,2023/12/16,12:00-20:00,40,0,7802.0
SC1,2023/12/16,14:00-22:00,31,0,6119.0
SC1,2023/12/16,16:00-24:00,49,0,9733.0
SC1,2023/12/17,00:00-08:00,60,6,12802.0
SC1,2023/12/17,05:00-13:00,39,0,7775.0
SC1,2023/12/17,08:00-16:00,46,0,9164.0
SC1,2023/12/17,12:00-20:00,39,0,7795.0
SC1,2023/12/17,14:00-22:00,31,0,6125.0
SC1,2023/12/17,16:00-24:00,49,0,9640.0
SC1,2023/12/18,00:00-08:00,60,6,12906.0
SC1,2023/12/18,05:00-13:00,40,0,7980.0
SC1,2023/12/18,08:00-16:00,45,0,8915.0
SC1,2023/12/18,12:00-20:00,36,0,7084.0
SC1,2023/12/18,14:00-22:00,29,0,5774.0
SC1,2023/12/18,16:00-24:00,47,0,9222.0
SC1,2023/12/19,00:00-08:00,60,2,12298.0
SC1,2023/12/19,05:00-13:00,38,0,7598.0
SC1,2023/12/19,08:00-16:00,42,0,8305.0
SC1,2023/12/19,12:00-20:00,34,0,6617.0
SC1,2023/12/19,14:00-22:00,29,0,5753.0
SC1,2023/12/19,16:00-24:00,46,0,9103.0
SC1,2023/12/20,00:00-08:00,60,4,12618.0
SC1,2023/12/20,05:00-13:00,39,0,7684.0
SC1,2023/12/20,08:00-16:00,43,0,8531.0
SC1,2023/12/20,12:00-20:00,34,0,6712.0
SC1,2023/12/20,14:00-22:00,29,0,5680.0
SC1,2023/12/20,16:00-24:00,45,0,8970.0
SC1,2023/12/21,00:00-08:00,60,2,12216.0
SC1,2023/12/21,05:00-13:00,37,0,7362.0
SC1,2023/12/21,08:00-16:00,44,0,8780.0
SC1,2023/12/21,12:00-20:00,37,0,7320.0
SC1,2023/12/21,14:00-22:00,29,0,5668.0
SC1,2023/12/21,16:00-24:00,45,0,8885.0
SC1,2023/12/22,00:00-08:00,60,2,12179.0
SC1,2023/12/22,05:00-13:00,39,0,7657.0
SC1,2023/12/22,08:00-16:00,48,0,9474.0
SC1,2023/12/22,12:00-20:00,39,0,7680.0
SC1,2023/12/22,14:00-22:00,28,0,5585.0
SC1,2023/12/22,16:00-24:00,44,0,8746.0
SC1,2023/12/23,00:00-08:00,60,1,12075.0
SC1,2023/12/23,05:00-13:00,36,0,7112.0
SC1,2023/12/23,08:00-16:00,44,0,8776.0
SC1,2023/12/23,12:00-20:00,37,0,7374.0
SC1,2023/12/23,14:00-22:00,28,0,5413.0
SC1,2023/12/23,16:00-24:00,43,0,8561.0
SC1,2023/12/24,00:00-08:00,57,0,11339.0
SC1,2023/12/24,05:00-13:00,36,0,7125.0
SC1,2023/12/24,08:00-16:00,42,0,8331.0
SC1,2023/12/24,12:00-20:00,34,0,6677.0
SC1,2023/12/24,14:00-22:00,27,0,5253.0
SC1,2023/12/24,16:00-24:00,42,0,8340.0
SC1,2023/12/25,00:00-08:00,59,0,11724.0
SC1,2023/12/25,05:00-13:00,34,0,6610.0
SC1,2023/12/25,08:00-16:00,38,0,7536.0
SC1,2023/12/25,12:00-20:00,32,0,6261.0
SC1,2023/12/25,14:00-22:00,26,0,5198.0
SC1,2023/12/25,16:00-24:00,42,0,8202.0
SC1,2023/12/26,00:00-08:00,56,0,11103.0
SC1,2023/12/26,05:00-13:00,35,0,6880.0
SC1,2023/12/26,08:00-16:00,41,0,8140.0
SC1,2023/12/26,12:00-20:00,33,0,6469.0
SC1,2023/12/26,14:00-22:00,26,0,5019.0
SC1,2023/12/26,16:00-24:00,40,0,7933.0
SC1,2023/12/27,00:00-08:00,56,0,11066.0
SC1,2023/12/27,05:00-13:00,32,0,6363.0
SC1,2023/12/27,08:00-16:00,42,0,8210.0
SC1,2023/12/27,12:00-20:00,35,0,7000.0
SC1,2023/12/27,14:00-22:00,25,0,4952.0
SC1,2023/12/27,16:00-24:00,40,0,7813.0
SC1,2023/12/28,00:00-08:00,56,0,11023.0
SC1,2023/12/28,05:00-13:00,34,0,6613.0
SC1,2023/12/28,08:00-16:00,44,0,8738.0
SC1,2023/12/28,12:00-20:00,36,0,7175.0
SC1,2023/12/28,14:00-22:00,24,0,4782.0
SC1,2023/12/28,16:00-24:00,39,0,7614.0
SC1,2023/12/29,00:00-08:00,53,0,10576.0
SC1,2023/12/29,05:00-13:00,31,0,6187.0
SC1,2023/12/29,08:00-16:00,41,0,8088.0
SC1,2023/12/29,12:00-20:00,35,0,6807.0
SC1,2023/12/29,14:00-22:00,24,0,4666.0
SC1,2023/12/29,16:00-24:00,38,0,7427.0
SC1,2023/12/30,00:00-08:00,54,0,10770.0
SC1,2023/12/30,05:00-13:00,32,0,6383.0
SC1,2023/12/30,08:00-16:00,40,0,7815.0
SC1,2023/12/30,12:00-20:00,32,0,6203.0
SC1,2023/12/30,14:00-22:00,24,0,4607.0
SC1,2023/12/30,16:00-24:00,37,0,7285.0
SC10,2023/12/01,00:00-08:00,60,43,18810.0
SC10,2023/12/01,05:00-13:00,45,0,8972.0
SC10,2023/12/01,08:00-16:00,35,0,6957.0
SC10,2023/12/01,12:00-20:00,46,0,9126.0
SC10,2023/12/01,14:00-22:00,60,68,22751.0
SC10,2023/12/01,16:00-24:00,60,161,37727.0
SC10,2023/12/02,00:00-08:00,60,49,19704.0
SC10,2023/12/02,05:00-13:00,44,0,8790.0
SC10,2023/12/02,08:00-16:00,40,0,7897.0
SC10,2023/12/02,12:00-20:00,48,0,9474.0
SC10,2023/12/02,14:00-22:00,60,68,22858.0
SC10,2023/12/02,16:00-24:00,60,151,36159.0
SC10,2023/12/03,00:00-08:00,60,55,20725.0
SC10,2023/12/03,05:00-13:00,46,0,9046.0
SC10,2023/12/03,08:00-16:00,38,0,7439.0
SC10,2023/12/03,12:00-20:00,45,0,8902.0
SC10,2023/12/03,14:00-22:00,60,70,23111.0
SC10,2023/12/03,16:00-24:00,60,159,37362.0
SC10,2023/12/04,00:00-08:00,60,49,19730.0
SC10,2023/12/04,05:00-13:00,46,0,9053.0
SC10,2023/12/04,08:00-16:00,39,0,7612.0
SC10,2023/12/04,12:00-20:00,47,0,9370.0
SC10,2023/12/04,14:00-22:00,60,72,23430.0
SC10,2023/12/04,16:00-24:00,60,156,36899.0
SC10,2023/12/05,00:00-08:00,60,42,18668.0
SC10,2023/12/05,05:00-13:00,47,0,9367.0
SC10,2023/12/05,08:00-16:00,37,0,7214.0
SC10,2023/12/05,12:00-20:00,48,0,9561.0
SC10,2023/12/05,14:00-22:00,60,71,23314.0
SC10,2023/12/05,16:00-24:00,60,161,37619.0
SC10,2023/12/06,00:00-08:00,60,36,17684.0
SC10,2023/12/06,05:00-13:00,44,0,8605.0
SC10,2023/12/06,08:00-16:00,36,0,7051.0
SC10,2023/12/06,12:00-20:00,44,0,8656.0
SC10,2023/12/06,14:00-22:00,60,69,22894.0
SC10,2023/12/06,16:00-24:00,60,156,36844.0
SC10,2023/12/07,00:00-08:00,60,32,17077.0
SC10,2023/12/07,05:00-13:00,43,0,8517.0
SC10,2023/12/07,08:00-16:00,38,0,7432.0
SC10,2023/12/07,12:00-20:00,45,0,8838.0
SC10,2023/12/07,14:00-22:00,60,64,22208.0
SC10,2023/12/07,16:00-24:00,60,151,36003.0
SC10,2023/12/08,00:00-08:00,60,45,19088.0
SC10,2023/12/08,05:00-13:00,45,0,8999.0
SC10,2023/12/08,08:00-16:00,38,0,7578.0
SC10,2023/12/08,12:00-20:00,48,0,9413.0
SC10,2023/12/08,14:00-22:00,60,69,23023.0
SC10,2023/12/08,16:00-24:00,60,158,37196.0
SC10,2023/12/09,00:00-08:00,60,51,20101.0
SC10,2023/12/09,05:00-13:00,46,0,9035.0
SC10,2023/12/09,08:00-16:00,39,0,7667.0
SC10,2023/12/09,12:00-20:00,48,0,9427.0
SC10,2023/12/09,14:00-22:00,60,70,23158.0
SC10,2023/12/09,16:00-24:00,60,151,36160.0
SC10,2023/12/10,00:00-08:00,60,43,18756.0
SC10,2023/12/10,05:00-13:00,43,0,8579.0
SC10,2023/12/10,08:00-16:00,36,0,7078.0
SC10,2023/12/10,12:00-20:00,43,0,8536.0
SC10,2023/12/10,14:00-22:00,60,67,22581.0
SC10,2023/12/10,16:00-24:00,60,158,37266.0
SC10,2023/12/11,00:00-08:00,60,37,17850.0
SC10,2023/12/11,05:00-13:00,43,0,8586.0
SC10,2023/12/11,08:00-16:00,38,0,7535.0
SC10,2023/12/11,12:00-20:00,44,0,8666.0
SC10,2023/12/11,14:00-22:00,60,66,22404.0
SC10,2023/12/11,16:00-24:00,60,147,35512.0
SC10,2023/12/12,00:00-08:00,60,39,18094.0
SC10,2023/12/12,05:00-13:00,45,0,8858.0
SC10,2023/12/12,08:00-16:00,38,0,7540.0
SC10,2023/12/12,12:00-20:00,43,0,8519.0
SC10,2023/12/12,14:00-22:00,60,65,22302.0
SC10,2023/12/12,16:00-24:00,60,160,37452.0
SC10,2023/12/13,00:00-08:00,60,45,19181.0
SC10,2023/12/13,05:00-13:00,45,0,8933.0
SC10,2023/12/13,08:00-16:00,37,0,7309.0
SC10,2023/12/13,12:00-20:00,42,0,8247.0
SC10,2023/12/13,14:00-22:00,60,67,22710.0
SC10,2023/12/13,16:00-24:00,60,149,35781.0
SC10,2023/12/14,00:00-08:00,60,50,19898.0
SC10,2023/12/14,05:00-13:00,46,0,9056.0
SC10,2023/12/14,08:00-16:00,39,0,7715.0
SC10,2023/12/14,12:00-20:00,44,0,8703.0
SC10,2023/12/14,14:00-22:00,60,66,22471.0
SC10,2023/12/14,16:00-24:00,60,161,37657.0
SC10,2023/12/15,00:00-08:00,60,43,18843.0
SC10,2023/12/15,05:00-13:00,43,0,8557.0
SC10,2023/12/15,08:00-16:00,36,0,7023.0
SC10,2023/12/15,12:00-20:00,40,0,7884.0
SC10,2023/12/15,14:00-22:00,60,66,22435.0
SC10,2023/12/15,16:00-24:00,60,151,36029.0
SC10,2023/12/16,00:00-08:00,60,29,16625.0
SC10,2023/12/16,05:00-13:00,44,0,8711.0
SC10,2023/12/16,08:00-16:00,38,0,7524.0
SC10,2023/12/16,12:00-20:00,42,0,8240.0
SC10,2023/12/16,14:00-22:00,60,64,22188.0
SC10,2023/12/16,16:00-24:00,60,157,36961.0
SC10,2023/12/17,00:00-08:00,60,30,16661.0
SC10,2023/12/17,05:00-13:00,44,0,8783.0
SC10,2023/12/17,08:00-16:00,37,0,7212.0
SC10,2023/12/17,12:00-20:00,40,0,7990.0
SC10,2023/12/17,14:00-22:00,60,64,22226.0
SC10,2023/12/17,16:00-24:00,60,151,36004.0
SC10,2023/12/18,00:00-08:00,60,44,19005.0
SC10,2023/12/18,05:00-13:00,46,0,9070.0
SC10,2023/12/18,08:00-16:00,39,0,7682.0
SC10,2023/12/18,12:00-20:00,43,0,8442.0
SC10,2023/12/18,14:00-22:00,60,66,22496.0
SC10,2023/12/18,16:00-24:00,60,155,36788.0
SC10,2023/12/19,00:00-08:00,60,47,19379.0
SC10,2023/12/19,05:00-13:00,44,0,8688.0
SC10,2023/12/19,08:00-16:00,38,0,7491.0
SC10,2023/12/19,12:00-20:00,41,0,8092.0
SC10,2023/12/19,14:00-22:00,60,65,22273.0
SC10,2023/12/19,16:00-24:00,60,156,36856.0
SC10,2023/12/20,00:00-08:00,60,41,18472.0
SC10,2023/12/20,05:00-13:00,44,0,8601.0
SC10,2023/12/20,08:00-16:00,37,0,7306.0
SC10,2023/12/20,12:00-20:00,40,0,7806.0
SC10,2023/12/20,14:00-22:00,60,65,22291.0
SC10,2023/12/20,16:00-24:00,60,150,35849.0
SC10,2023/12/21,00:00-08:00,60,29,16508.0
SC10,2023/12/21,05:00-13:00,45,0,8847.0
SC10,2023/12/21,08:00-16:00,39,0,7760.0
SC10,2023/12/21,12:00-20:00,41,0,8147.0
SC10,2023/12/21,14:00-22:00,60,63,22046.0
SC10,2023/12/21,16:00-24:00,60,158,37230.0
SC10,2023/12/22,00:00-08:00,60,29,16566.0
SC10,2023/12/22,05:00-13:00,45,0,8962.0
SC10,2023/12/22,08:00-16:00,37,0,7373.0
SC10,2023/12/22,12:00-20:00,39,0,7658.0
SC10,2023/12/22,14:00-22:00,60,65,22270.0
SC10,2023/12/22,16:00-24:00,60,149,35688.0
SC10,2023/12/23,00:00-08:00,60,43,18817.0
SC10,2023/12/23,05:00-13:00,45,0,8857.0
SC10,2023/12/23,08:00-16:00,40,0,7830.0
SC10,2023/12/23,12:00-20:00,40,0,7993.0
SC10,2023/12/23,14:00-22:00,60,64,22155.0
SC10,2023/12/23,16:00-24:00,60,162,37809.0
SC10,2023/12/24,00:00-08:00,60,53,20452.0
SC10,2023/12/24,05:00-13:00,44,0,8772.0
SC10,2023/12/24,08:00-16:00,38,0,7493.0
SC10,2023/12/24,12:00-20:00,38,0,7492.0
SC10,2023/12/24,14:00-22:00,60,63,21987.0
SC10,2023/12/24,16:00-24:00,60,145,35158.0
SC10,2023/12/25,00:00-08:00,60,41,18554.0
SC10,2023/12/25,05:00-13:00,45,0,8817.0
SC10,2023/12/25,08:00-16:00,38,0,7564.0
SC10,2023/12/25,12:00-20:00,38,0,7543.0
SC10,2023/12/25,14:00-22:00,60,63,22020.0
SC10,2023/12/25,16:00-24:00,60,163,37965.0
SC10,2023/12/26,00:00-08:00,60,25,15982.0
SC10,2023/12/26,05:00-13:00,45,0,8971.0
SC10,2023/12/26,08:00-16:00,39,0,7609.0
SC10,2023/12/26,12:00-20:00,38,0,7588.0
SC10,2023/12/26,14:00-22:00,60,62,21898.0
SC10,2023/12/26,16:00-24:00,60,145,35186.0
SC10,2023/12/27,00:00-08:00,60,25,15931.0
SC10,2023/12/27,05:00-13:00,45,0,8935.0
SC10,2023/12/27,08:00-16:00,38,0,7506.0
SC10,2023/12/27,12:00-20:00,37,0,7386.0
SC10,2023/12/27,14:00-22:00,60,63,22042.0
SC10,2023/12/27,16:00-24:00,60,160,37514.0
SC10,2023/12/28,00:00-08:00,60,38,17929.0
SC10,2023/12/28,05:00-13:00,45,0,8876.0
SC10,2023/12/28,08:00-16:00,40,0,7945.0
SC10,2023/12/28,12:00-20:00,39,0,7697.0
SC10,2023/12/28,14:00-22:00,60,62,21906.0
SC10,2023/12/28,16:00-24:00,60,149,35837.0
SC10,2023/12/29,00:00-08:00,60,51,20142.0
SC10,2023/12/29,05:00-13:00,45,0,8868.0
SC10,2023/12/29,08:00-16:00,38,0,7491.0
SC10,2023/12/29,12:00-20:00,36,0,7150.0
SC10,2023/12/29,14:00-22:00,60,63,21995.0
SC10,2023/12/29,16:00-24:00,60,157,37042.0
SC10,2023/12/30,00:00-08:00,60,43,18777.0
SC10,2023/12/30,05:00-13:00,46,0,9013.0
SC10,2023/12/30,08:00-16:00,40,0,7921.0
SC10,2023/12/30,12:00-20:00,38,0,7556.0
SC10,2023/12/30,14:00-22:00,60,62,21882.0
SC10,2023/12/30,16:00-24:00,60,153,36388.0
SC12,2023/12/01,00:00-08:00,1,0,143.0
SC12,2023/12/01,05:00-13:00,11,0,2114.0
SC12,2023/12/01,08:00-16:00,15,0,2904.0
SC12,2023/12/01,12:00-20:00,11,0,2195.0
SC12,2023/12/01,14:00-22:00,8,0,1544.0
SC12,2023/12/01,16:00-24:00,5,0,923.0
SC12,2023/12/02,00:00-08:00,1,0,113.0
SC12,2023/12/02,05:00-13:00,11,0,2034.0
SC12,2023/12/02,08:00-16:00,14,0,2775.0
SC12,2023/12/02,12:00-20:00,11,0,2136.0
SC12,2023/12/02,14:00-22:00,8,0,1501.0
SC12,2023/12/02,16:00-24:00,5,0,953.0
SC12,2023/12/03,00:00-08:00,2,0,208.0
SC12,2023/12/03,05:00-13:00,11,0,2149.0
SC12,2023/12/03,08:00-16:00,14,0,2727.0
SC12,2023/12/03,12:00-20:00,11,0,2044.0
SC12,2023/12/03,14:00-22:00,8,0,1465.0
SC12,2023/12/03,16:00-24:00,5,0,939.0
SC12,2023/12/04,00:00-08:00,2,0,216.0
SC12,2023/12/04,05:00-13:00,11,0,2041.0
SC12,2023/12/04,08:00-16:00,14,0,2675.0
SC12,2023/12/04,12:00-20:00,10,0,1964.0
SC12,2023/12/04,14:00-22:00,7,0,1371.0
SC12,2023/12/04,16:00-24:00,5,0,821.0
SC12,2023/12/05,00:00-08:00,1,0,122.0
SC12,2023/12/05,05:00-13:00,10,0,1868.0
SC12,2023/12/05,08:00-16:00,14,0,2649.0
SC12,2023/12/05,12:00-20:00,11,0,2070.0
SC12,2023/12/05,14:00-22:00,8,0,1444.0
SC12,2023/12/05,16:00-24:00,5,0,857.0
SC12,2023/12/06,00:00-08:00,1,0,120.0
SC12,2023/12/06,05:00-13:00,10,0,1913.0
SC12,2023/12/06,08:00-16:00,14,0,2618.0
SC12,2023/12/06,12:00-20:00,11,0,2013.0
SC12,2023/12/06,14:00-22:00,7,0,1369.0
SC12,2023/12/06,16:00-24:00,5,0,847.0
SC12,2023/12/07,00:00-08:00,1,0,120.0
SC12,2023/12/07,05:00-13:00,10,0,1908.0
SC12,2023/12/07,08:00-16:00,13,0,2579.0
SC12,2023/12/07,12:00-20:00,10,0,1989.0
SC12,2023/12/07,14:00-22:00,7,0,1386.0
SC12,2023/12/07,16:00-24:00,5,0,875.0
SC12,2023/12/08,00:00-08:00,1,0,134.0
SC12,2023/12/08,05:00-13:00,10,0,1917.0
SC12,2023/12/08,08:00-16:00,13,0,2539.0
SC12,2023/12/08,12:00-20:00,10,0,1935.0
SC12,2023/12/08,14:00-22:00,7,0,1341.0
SC12,2023/12/08,16:00-24:00,5,0,854.0
SC12,2023/12/09,00:00-08:00,1,0,138.0
SC12,2023/12/09,05:00-13:00,10,0,1905.0
SC12,2023/12/09,08:00-16:00,13,0,2508.0
SC12,2023/12/09,12:00-20:00,10,0,1907.0
SC12,2023/12/09,14:00-22:00,7,0,1322.0
SC12,2023/12/09,16:00-24:00,5,0,848.0
SC12,2023/12/10,00:00-08:00,1,0,136.0
SC12,2023/12/10,05:00-13:00,10,0,1842.0
SC12,2023/12/10,08:00-16:00,13,0,2407.0
SC12,2023/12/10,12:00-20:00,10,0,1825.0
SC12,2023/12/10,14:00-22:00,7,0,1274.0
SC12,2023/12/10,16:00-24:00,5,0,822.0
SC12,2023/12/11,00:00-08:00,1,0,126.0
SC12,2023/12/11,05:00-13:00,10,0,1821.0
SC12,2023/12/11,08:00-16:00,12,0,2391.0
SC12,2023/12/11,12:00-20:00,9,0,1790.0
SC12,2023/12/11,14:00-22:00,7,0,1259.0
SC12,2023/12/11,16:00-24:00,5,0,818.0
SC12,2023/12/12,00:00-08:00,1,0,137.0
SC12,2023/12/12,05:00-13:00,10,0,1849.0
SC12,2023/12/12,08:00-16:00,12,0,2392.0
SC12,2023/12/12,12:00-20:00,9,0,1772.0
SC12,2023/12/12,14:00-22:00,7,0,1274.0
SC12,2023/12/12,16:00-24:00,5,0,824.0
SC12,2023/12/13,00:00-08:00,1,0,173.0
SC12,2023/12/13,05:00-13:00,10,0,1865.0
SC12,2023/12/13,08:00-16:00,12,0,2322.0
SC12,2023/12/13,12:00-20:00,9,0,1693.0
SC12,2023/12/13,14:00-22:00,7,0,1216.0
SC12,2023/12/13,16:00-24:00,5,0,800.0
SC12,2023/12/14,00:00-08:00,1,0,151.0
SC12,2023/12/14,05:00-13:00,10,0,1831.0
SC12,2023/12/14,08:00-16:00,12,0,2309.0
SC12,2023/12/14,12:00-20:00,9,0,1648.0
SC12,2023/12/14,14:00-22:00,6,0,1176.0
SC12,2023/12/14,16:00-24:00,4,0,768.0
SC12,2023/12/15,00:00-08:00,1,0,117.0
SC12,2023/12/15,05:00-13:00,9,0,1780.0
SC12,2023/12/15,08:00-16:00,12,0,2279.0
SC12,2023/12/15,12:00-20:00,9,0,1640.0
SC12,2023/12/15,14:00-22:00,6,0,1161.0
SC12,2023/12/15,16:00-24:00,4,0,762.0
SC12,2023/12/16,00:00-08:00,1,0,114.0
SC12,2023/12/16,05:00-13:00,9,0,1748.0
SC12,2023/12/16,08:00-16:00,12,0,2235.0
SC12,2023/12/16,12:00-20:00,9,0,1630.0
SC12,2023/12/16,14:00-22:00,6,0,1149.0
SC12,2023/12/16,16:00-24:00,4,0,766.0
SC12,2023/12/17,00:00-08:00,1,0,120.0
SC12,2023/12/17,05:00-13:00,9,0,1758.0
SC12,2023/12/17,08:00-16:00,12,0,2213.0
SC12,2023/12/17,12:00-20:00,9,0,1602.0
SC12,2023/12/17,14:00-22:00,6,0,1133.0
SC12,2023/12/17,16:00-24:00,4,0,764.0
SC12,2023/12/18,00:00-08:00,1,0,125.0
SC12,2023/12/18,05:00-13:00,9,0,1756.0
SC12,2023/12/18,08:00-16:00,11,0,2188.0
SC12,2023/12/18,12:00-20:00,8,0,1565.0
SC12,2023/12/18,14:00-22:00,6,0,1111.0
SC12,2023/12/18,16:00-24:00,4,0,752.0
SC12,2023/12/19,00:00-08:00,1,0,127.0
SC12,2023/12/19,05:00-13:00,9,0,1759.0
SC12,2023/12/19,08:00-16:00,11,0,2169.0
SC12,2023/12/19,12:00-20:00,8,0,1537.0
SC12,2023/12/19,14:00-22:00,6,0,1100.0
SC12,2023/12/19,16:00-24:00,4,0,748.0
SC12,2023/12/20,00:00-08:00,1,0,124.0
SC12,2023/12/20,05:00-13:00,9,0,1740.0
SC12,2023/12/20,08:00-16:00,11,0,2133.0
SC12,2023/12/20,12:00-20:00,8,0,1504.0
SC12,2023/12/20,14:00-22:00,6,0,1082.0
SC12,2023/12/20,16:00-24:00,4,0,746.0
SC12,2023/12/21,00:00-08:00,1,0,121.0
SC12,2023/12/21,05:00-13:00,9,0,1706.0
SC12,2023/12/21,08:00-16:00,11,0,2097.0
SC12,2023/12/21,12:00-20:00,8,0,1481.0
SC12,2023/12/21,14:00-22:00,6,0,1076.0
SC12,2023/12/21,16:00-24:00,4,0,745.0
SC12,2023/12/22,00:00-08:00,1,0,133.0
SC12,2023/12/22,05:00-13:00,9,0,1715.0
SC12,2023/12/22,08:00-16:00,11,0,2079.0
SC12,2023/12/22,12:00-20:00,8,0,1459.0
SC12,2023/12/22,14:00-22:00,6,0,1066.0
SC12,2023/12/22,16:00-24:00,4,0,740.0
SC12,2023/12/23,00:00-08:00,1,0,139.0
SC12,2023/12/23,05:00-13:00,9,0,1704.0
SC12,2023/12/23,08:00-16:00,11,0,2040.0
SC12,2023/12/23,12:00-20:00,8,0,1419.0
SC12,2023/12/23,14:00-22:00,6,0,1038.0
SC12,2023/12/23,16:00-24:00,4,0,729.0
SC12,2023/12/24,00:00-08:00,1,0,123.0
