分拣中心,日期,小时,修正后时货量
SC1,2023/12/03,17,576.0
SC1,2023/12/03,18,802.0
SC1,2023/12/03,19,1600.0
SC1,2023/12/03,20,2542.0
SC1,2023/12/03,21,2240.0
SC1,2023/12/03,22,2222.0
SC1,2023/12/03,23,2442.0
SC1,2023/12/04,0,2565.0
SC1,2023/12/04,1,2808.0
SC1,2023/12/04,2,1941.0
SC1,2023/12/04,3,2708.0
SC1,2023/12/04,4,2629.0
SC1,2023/12/04,5,1894.0
SC1,2023/12/04,6,10.0
SC1,2023/12/04,7,873.0
SC1,2023/12/04,8,1301.0
SC1,2023/12/04,9,1249.0
SC1,2023/12/04,10,1026.0
SC1,2023/12/04,11,1630.0
SC1,2023/12/04,12,2087.0
SC1,2023/12/04,13,3047.0
SC1,2023/12/04,14,71.0
SC1,2023/12/04,15,40.0
SC1,2023/12/04,16,485.0
SC1,2023/12/04,17,465.0
SC1,2023/12/04,18,755.0
SC1,2023/12/04,19,1535.0
SC1,2023/12/04,20,2110.0
SC1,2023/12/04,21,2207.0
SC1,2023/12/04,22,2302.0
SC1,2023/12/04,23,2412.0
SC1,2023/12/05,0,3028.0
SC1,2023/12/05,1,2714.0
SC1,2023/12/05,2,2190.0
SC1,2023/12/05,3,2359.0
SC1,2023/12/05,4,2723.0
SC1,2023/12/05,5,2142.0
SC1,2023/12/05,6,3.0
SC1,2023/12/05,7,840.0
SC1,2023/12/05,8,1142.0
SC1,2023/12/05,9,1462.0
SC1,2023/12/05,10,1288.0
SC1,2023/12/05,11,1037.0
SC1,2023/12/05,12,2168.0
SC1,2023/12/05,13,3308.0
SC1,2023/12/05,14,104.0
SC1,2023/12/05,15,13.0
SC1,2023/12/05,16,431.0
SC1,2023/12/05,17,502.0
SC1,2023/12/05,18,635.0
SC1,2023/12/05,19,1537.0
SC1,2023/12/05,20,2112.0
SC1,2023/12/05,21,2011.0
SC1,2023/12/05,22,2249.0
SC1,2023/12/05,23,2357.0
SC1,2023/12/06,0,2682.0
SC1,2023/12/06,1,2679.0
SC1,2023/12/06,2,2118.0
SC1,2023/12/06,3,2622.0
SC1,2023/12/06,4,2602.0
SC1,2023/12/06,5,2117.0
SC1,2023/12/06,6,0.0
SC1,2023/12/06,7,739.0
SC1,2023/12/06,8,1396.0
SC1,2023/12/06,9,1155.0
SC1,2023/12/06,10,1092.0
SC1,2023/12/06,11,1550.0
SC1,2023/12/06,12,1989.0
SC1,2023/12/06,13,3141.0
SC1,2023/12/06,14,99.0
SC1,2023/12/06,15,41.0
SC1,2023/12/06,16,456.0
SC1,2023/12/06,17,397.0
SC1,2023/12/06,18,594.0
SC1,2023/12/06,19,1570.0
SC1,2023/12/06,20,2381.0
SC1,2023/12/06,21,1971.0
SC1,2023/12/06,22,2078.0
SC1,2023/12/06,23,2363.0
SC1,2023/12/07,0,2688.0
SC1,2023/12/07,1,2589.0
SC1,2023/12/07,2,1887.0
SC1,2023/12/07,3,2437.0
SC1,2023/12/07,4,2347.0
SC1,2023/12/07,5,1880.0
SC1,2023/12/07,6,2.0
SC1,2023/12/07,7,825.0
SC1,2023/12/07,8,1401.0
SC1,2023/12/07,9,1330.0
SC1,2023/12/07,10,817.0
SC1,2023/12/07,11,1218.0
SC1,2023/12/07,12,2037.0
SC1,2023/12/07,13,2577.0
SC1,2023/12/07,14,117.0
SC1,2023/12/07,15,61.0
SC1,2023/12/07,16,445.0
SC1,2023/12/07,17,520.0
SC1,2023/12/07,18,639.0
SC1,2023/12/07,19,1575.0
SC1,2023/12/07,20,2290.0
SC1,2023/12/07,21,1941.0
SC1,2023/12/07,22,1996.0
SC1,2023/12/07,23,2366.0
SC1,2023/12/08,0,2393.0
SC1,2023/12/08,1,2648.0
SC1,2023/12/08,2,2635.0
SC1,2023/12/08,3,2544.0
SC1,2023/12/08,4,2212.0
SC1,2023/12/08,5,1674.0
SC1,2023/12/08,6,3.0
SC1,2023/12/08,7,703.0
SC1,2023/12/08,8,1437.0
SC1,2023/12/08,9,1240.0
SC1,2023/12/08,10,1120.0
SC1,2023/12/08,11,1554.0
SC1,2023/12/08,12,1955.0
SC1,2023/12/08,13,2185.0
SC1,2023/12/08,14,75.0
SC1,2023/12/08,15,13.0
SC1,2023/12/08,16,353.0
SC1,2023/12/08,17,499.0
SC1,2023/12/08,18,672.0
SC1,2023/12/08,19,1486.0
SC1,2023/12/08,20,2166.0
SC1,2023/12/08,21,1888.0
SC1,2023/12/08,22,1913.0
SC1,2023/12/08,23,2356.0
SC1,2023/12/09,0,2666.0
SC1,2023/12/09,1,2671.0
SC1,2023/12/09,2,2079.0
SC1,2023/12/09,3,2654.0
SC1,2023/12/09,4,2321.0
SC1,2023/12/09,5,1602.0
SC1,2023/12/09,6,2.0
SC1,2023/12/09,7,673.0
SC1,2023/12/09,8,1355.0
SC1,2023/12/09,9,1122.0
SC1,2023/12/09,10,1538.0
SC1,2023/12/09,11,1078.0
SC1,2023/12/09,12,1901.0
SC1,2023/12/09,13,2693.0
SC1,2023/12/09,14,53.0
SC1,2023/12/09,15,65.0
SC1,2023/12/09,16,344.0
SC1,2023/12/09,17,496.0
SC1,2023/12/09,18,687.0
SC1,2023/12/09,19,1490.0
SC1,2023/12/09,20,2194.0
SC1,2023/12/09,21,1882.0
SC1,2023/12/09,22,1871.0
SC1,2023/12/09,23,2351.0
SC1,2023/12/10,0,2571.0
SC1,2023/12/10,1,2755.0
SC1,2023/12/10,2,2518.0
SC1,2023/12/10,3,2397.0
SC1,2023/12/10,4,2356.0
SC1,2023/12/10,5,1790.0
SC1,2023/12/10,6,2.0
SC1,2023/12/10,7,670.0
SC1,2023/12/10,8,1246.0
SC1,2023/12/10,9,1066.0
SC1,2023/12/10,10,1330.0
SC1,2023/12/10,11,1404.0
SC1,2023/12/10,12,2055.0
SC1,2023/12/10,13,3303.0
SC1,2023/12/10,14,86.0
SC1,2023/12/10,15,43.0
SC1,2023/12/10,16,414.0
SC1,2023/12/10,17,444.0
SC1,2023/12/10,18,667.0
SC1,2023/12/10,19,1494.0
SC1,2023/12/10,20,1995.0
SC1,2023/12/10,21,1882.0
SC1,2023/12/10,22,1928.0
SC1,2023/12/10,23,2300.0
SC1,2023/12/11,0,2419.0
SC1,2023/12/11,1,2675.0
SC1,2023/12/11,2,2233.0
SC1,2023/12/11,3,2553.0
SC1,2023/12/11,4,2303.0
SC1,2023/12/11,5,1868.0
SC1,2023/12/11,6,5.0
SC1,2023/12/11,7,580.0
SC1,2023/12/11,8,1120.0
SC1,2023/12/11,9,1241.0
SC1,2023/12/11,10,1105.0
SC1,2023/12/11,11,978.0
SC1,2023/12/11,12,2040.0
SC1,2023/12/11,13,3445.0
SC1,2023/12/11,14,58.0
SC1,2023/12/11,15,48.0
SC1,2023/12/11,16,452.0
SC1,2023/12/11,17,486.0
SC1,2023/12/11,18,646.0
SC1,2023/12/11,19,1495.0
SC1,2023/12/11,20,2251.0
SC1,2023/12/11,21,1928.0
SC1,2023/12/11,22,1993.0
SC1,2023/12/11,23,2218.0
SC1,2023/12/12,0,2675.0
SC1,2023/12/12,1,2681.0
SC1,2023/12/12,2,1937.0
SC1,2023/12/12,3,2393.0
SC1,2023/12/12,4,2210.0
SC1,2023/12/12,5,1775.0
SC1,2023/12/12,6,6.0
SC1,2023/12/12,7,632.0
SC1,2023/12/12,8,1191.0
SC1,2023/12/12,9,1247.0
SC1,2023/12/12,10,1301.0
SC1,2023/12/12,11,1376.0
SC1,2023/12/12,12,1996.0
SC1,2023/12/12,13,3054.0
SC1,2023/12/12,14,42.0
SC1,2023/12/12,15,45.0
SC1,2023/12/12,16,423.0
SC1,2023/12/12,17,400.0
SC1,2023/12/12,18,628.0
SC1,2023/12/12,19,1435.0
SC1,2023/12/12,20,2142.0
SC1,2023/12/12,21,1910.0
SC1,2023/12/12,22,2015.0
SC1,2023/12/12,23,2141.0
SC1,2023/12/13,0,2571.0
SC1,2023/12/13,1,2574.0
SC1,2023/12/13,2,2260.0
SC1,2023/12/13,3,2360.0
SC1,2023/12/13,4,2142.0
SC1,2023/12/13,5,1596.0
SC1,2023/12/13,6,5.0
SC1,2023/12/13,7,625.0
SC1,2023/12/13,8,1130.0
SC1,2023/12/13,9,914.0
SC1,2023/12/13,10,1214.0
SC1,2023/12/13,11,955.0
SC1,2023/12/13,12,1835.0
SC1,2023/12/13,13,2523.0
SC1,2023/12/13,14,32.0
SC1,2023/12/13,15,6.0
SC1,2023/12/13,16,389.0
SC1,2023/12/13,17,420.0
SC1,2023/12/13,18,626.0
SC1,2023/12/13,19,1359.0
SC1,2023/12/13,20,1995.0
SC1,2023/12/13,21,1918.0
SC1,2023/12/13,22,1901.0
SC1,2023/12/13,23,2065.0
SC1,2023/12/14,0,2280.0
SC1,2023/12/14,1,2548.0
SC1,2023/12/14,2,1571.0
SC1,2023/12/14,3,2379.0
SC1,2023/12/14,4,2191.0
SC1,2023/12/14,5,1481.0
SC1,2023/12/14,6,5.0
SC1,2023/12/14,7,621.0
SC1,2023/12/14,8,1045.0
SC1,2023/12/14,9,1116.0
SC1,2023/12/14,10,986.0
SC1,2023/12/14,11,1280.0
SC1,2023/12/14,12,1793.0
SC1,2023/12/14,13,2446.0
SC1,2023/12/14,14,29.0
SC1,2023/12/14,15,25.0
SC1,2023/12/14,16,366.0
SC1,2023/12/14,17,371.0
SC1,2023/12/14,18,605.0
SC1,2023/12/14,19,1314.0
SC1,2023/12/14,20,1957.0
SC1,2023/12/14,21,1864.0
SC1,2023/12/14,22,1770.0
SC1,2023/12/14,23,2010.0
SC1,2023/12/15,0,2621.0
SC1,2023/12/15,1,2454.0
SC1,2023/12/15,2,1987.0
SC1,2023/12/15,3,2162.0
SC1,2023/12/15,4,2283.0
SC1,2023/12/15,5,1524.0
SC1,2023/12/15,6,4.0
SC1,2023/12/15,7,664.0
SC1,2023/12/15,8,983.0
SC1,2023/12/15,9,1077.0
SC1,2023/12/15,10,1057.0
SC1,2023/12/15,11,904.0
SC1,2023/12/15,12,1825.0
SC1,2023/12/15,13,2919.0
SC1,2023/12/15,14,50.0
SC1,2023/12/15,15,0.0
SC1,2023/12/15,16,338.0
SC1,2023/12/15,17,364.0
SC1,2023/12/15,18,540.0
SC1,2023/12/15,19,1313.0
SC1,2023/12/15,20,1889.0
SC1,2023/12/15,21,1790.0
SC1,2023/12/15,22,1751.0
SC1,2023/12/15,23,1973.0
SC1,2023/12/16,0,2369.0
SC1,2023/12/16,1,2424.0
SC1,2023/12/16,2,1678.0
SC1,2023/12/16,3,2233.0
SC1,2023/12/16,4,2225.0
SC1,2023/12/16,5,1599.0
SC1,2023/12/16,6,2.0
SC1,2023/12/16,7,603.0
SC1,2023/12/16,8,980.0
SC1,2023/12/16,9,1008.0
SC1,2023/12/16,10,1088.0
SC1,2023/12/16,11,1282.0
SC1,2023/12/16,12,1777.0
SC1,2023/12/16,13,3521.0
SC1,2023/12/16,14,51.0
SC1,2023/12/16,15,17.0
SC1,2023/12/16,16,333.0
SC1,2023/12/16,17,316.0
SC1,2023/12/16,18,485.0
SC1,2023/12/16,19,1300.0
SC1,2023/12/16,20,1899.0
SC1,2023/12/16,21,1718.0
SC1,2023/12/16,22,1738.0
SC1,2023/12/16,23,1944.0
SC1,2023/12/17,0,2349.0
SC1,2023/12/17,1,2351.0
SC1,2023/12/17,2,1691.0
SC1,2023/12/17,3,2126.0
SC1,2023/12/17,4,2077.0
SC1,2023/12/17,5,1606.0
SC1,2023/12/17,6,1.0
SC1,2023/12/17,7,602.0
SC1,2023/12/17,8,987.0
SC1,2023/12/17,9,1032.0
SC1,2023/12/17,10,846.0
SC1,2023/12/17,11,928.0
SC1,2023/12/17,12,1773.0
SC1,2023/12/17,13,3515.0
SC1,2023/12/17,14,60.0
SC1,2023/12/17,15,23.0
SC1,2023/12/17,16,327.0
SC1,2023/12/17,17,346.0
SC1,2023/12/17,18,469.0
SC1,2023/12/17,19,1283.0
SC1,2023/12/17,20,1970.0
SC1,2023/12/17,21,1649.0
SC1,2023/12/17,22,1669.0
SC1,2023/12/17,23,1928.0
SC1,2023/12/18,0,2300.0
SC1,2023/12/18,1,2339.0
SC1,2023/12/18,2,2057.0
SC1,2023/12/18,3,2121.0
SC1,2023/12/18,4,1995.0
SC1,2023/12/18,5,1513.0
SC1,2023/12/18,6,0.0
SC1,2023/12/18,7,580.0
SC1,2023/12/18,8,1066.0
SC1,2023/12/18,9,1032.0
SC1,2023/12/18,10,846.0
SC1,2023/12/18,11,1237.0
SC1,2023/12/18,12,1707.0
SC1,2023/12/18,13,2978.0
SC1,2023/12/18,14,45.0
SC1,2023/12/18,15,5.0
SC1,2023/12/18,16,286.0
SC1,2023/12/18,17,338.0
SC1,2023/12/18,18,476.0
SC1,2023/12/18,19,1248.0
SC1,2023/12/18,20,1781.0
SC1,2023/12/18,21,1594.0
SC1,2023/12/18,22,1585.0
SC1,2023/12/18,23,1913.0
SC1,2023/12/19,0,2279.0
SC1,2023/12/19,1,2320.0
SC1,2023/12/19,2,1621.0
SC1,2023/12/19,3,2183.0
SC1,2023/12/19,4,1985.0
SC1,2023/12/19,5,1382.0
SC1,2023/12/19,6,2.0
SC1,2023/12/19,7,527.0
SC1,2023/12/19,8,1053.0
SC1,2023/12/19,9,962.0
SC1,2023/12/19,10,1154.0
SC1,2023/12/19,11,851.0
SC1,2023/12/19,12,1667.0
SC1,2023/12/19,13,2557.0
SC1,2023/12/19,14,33.0
SC1,2023/12/19,15,28.0
SC1,2023/12/19,16,258.0
SC1,2023/12/19,17,353.0
SC1,2023/12/19,18,480.0
SC1,2023/12/19,19,1240.0
SC1,2023/12/19,20,1817.0
SC1,2023/12/19,21,1544.0
SC1,2023/12/19,22,1520.0
SC1,2023/12/19,23,1890.0
SC1,2023/12/20,0,2206.0
SC1,2023/12/20,1,2345.0
SC1,2023/12/20,2,2112.0
SC1,2023/12/20,3,2065.0
SC1,2023/12/20,4,2011.0
SC1,2023/12/20,5,1346.0
SC1,2023/12/20,6,2.0
SC1,2023/12/20,7,531.0
SC1,2023/12/20,8,993.0
SC1,2023/12/20,9,826.0
SC1,2023/12/20,10,1134.0
SC1,2023/12/20,11,1177.0
SC1,2023/12/20,12,1675.0
SC1,2023/12/20,13,2662.0
SC1,2023/12/20,14,49.0
SC1,2023/12/20,15,15.0
SC1,2023/12/20,16,270.0
SC1,2023/12/20,17,323.0
SC1,2023/12/20,18,476.0
SC1,2023/12/20,19,1243.0
SC1,2023/12/20,20,1785.0
SC1,2023/12/20,21,1519.0
SC1,2023/12/20,22,1498.0
SC1,2023/12/20,23,1856.0
SC1,2023/12/21,0,2153.0
SC1,2023/12/21,1,2327.0
SC1,2023/12/21,2,1717.0
SC1,2023/12/21,3,2131.0
SC1,2023/12/21,4,2005.0
SC1,2023/12/21,5,1384.0
SC1,2023/12/21,6,2.0
SC1,2023/12/21,7,496.0
SC1,2023/12/21,8,959.0
SC1,2023/12/21,9,1054.0
SC1,2023/12/21,10,955.0
SC1,2023/12/21,11,820.0
SC1,2023/12/21,12,1692.0
SC1,2023/12/21,13,3232.0
SC1,2023/12/21,14,38.0
SC1,2023/12/21,15,30.0
SC1,2023/12/21,16,293.0
SC1,2023/12/21,17,340.0
SC1,2023/12/21,18,463.0
SC1,2023/12/21,19,1231.0
SC1,2023/12/21,20,1784.0
SC1,2023/12/21,21,1488.0
SC1,2023/12/21,22,1473.0
SC1,2023/12/21,23,1811.0
SC1,2023/12/22,0,2217.0
SC1,2023/12/22,1,2331.0
SC1,2023/12/22,2,1739.0
SC1,2023/12/22,3,2066.0
SC1,2023/12/22,4,1919.0
SC1,2023/12/22,5,1417.0
SC1,2023/12/22,6,3.0
SC1,2023/12/22,7,489.0
SC1,2023/12/22,8,956.0
SC1,2023/12/22,9,939.0
SC1,2023/12/22,10,1040.0
SC1,2023/12/22,11,1113.0
SC1,2023/12/22,12,1701.0
SC1,2023/12/22,13,3668.0
SC1,2023/12/22,14,28.0
SC1,2023/12/22,15,28.0
SC1,2023/12/22,16,296.0
SC1,2023/12/22,17,316.0
SC1,2023/12/22,18,452.0
SC1,2023/12/22,19,1190.0
SC1,2023/12/22,20,1799.0
SC1,2023/12/22,21,1475.0
SC1,2023/12/22,22,1457.0
SC1,2023/12/22,23,1761.0
SC1,2023/12/23,0,2204.0
SC1,2023/12/23,1,2288.0
SC1,2023/12/23,2,1817.0
SC1,2023/12/23,3,2034.0
SC1,2023/12/23,4,1844.0
SC1,2023/12/23,5,1382.0
SC1,2023/12/23,6,4.0
SC1,2023/12/23,7,503.0
SC1,2023/12/23,8,925.0
SC1,2023/12/23,9,826.0
SC1,2023/12/23,10,1094.0
SC1,2023/12/23,11,759.0
SC1,2023/12/23,12,1619.0
SC1,2023/12/23,13,3520.0
SC1,2023/12/23,14,19.0
SC1,2023/12/23,15,14.0
SC1,2023/12/23,16,284.0
SC1,2023/12/23,17,314.0
SC1,2023/12/23,18,455.0
SC1,2023/12/23,19,1149.0
SC1,2023/12/23,20,1714.0
SC1,2023/12/23,21,1464.0
SC1,2023/12/23,22,1469.0
SC1,2023/12/23,23,1713.0
SC1,2023/12/24,0,2026.0
SC1,2023/12/24,1,2266.0
SC1,2023/12/24,2,1352.0
SC1,2023/12/24,3,2050.0
SC1,2023/12/24,4,1864.0
SC1,2023/12/24,5,1293.0
SC1,2023/12/24,6,3.0
SC1,2023/12/24,7,484.0
SC1,2023/12/24,8,902.0
SC1,2023/12/24,9,892.0
SC1,2023/12/24,10,931.0
SC1,2023/12/24,11,1061.0
SC1,2023/12/24,12,1559.0
SC1,2023/12/24,13,2954.0
SC1,2023/12/24,14,13.0
SC1,2023/12/24,15,20.0
SC1,2023/12/24,16,271.0
SC1,2023/12/24,17,288.0
SC1,2023/12/24,18,455.0
SC1,2023/12/24,19,1118.0
SC1,2023/12/24,20,1636.0
SC1,2023/12/24,21,1452.0
SC1,2023/12/24,22,1451.0
SC1,2023/12/24,23,1670.0
SC1,2023/12/25,0,2216.0
SC1,2023/12/25,1,2209.0
SC1,2023/12/25,2,1735.0
SC1,2023/12/25,3,1934.0
SC1,2023/12/25,4,1903.0
SC1,2023/12/25,5,1229.0
SC1,2023/12/25,6,2.0
SC1,2023/12/25,7,498.0
SC1,2023/12/25,8,844.0
SC1,2023/12/25,9,867.0
SC1,2023/12/25,10,890.0
SC1,2023/12/25,11,742.0
SC1,2023/12/25,12,1539.0
SC1,2023/12/25,13,2629.0
SC1,2023/12/25,14,23.0
SC1,2023/12/25,15,2.0
SC1,2023/12/25,16,255.0
SC1,2023/12/25,17,278.0
SC1,2023/12/25,18,431.0
SC1,2023/12/25,19,1105.0
SC1,2023/12/25,20,1670.0
SC1,2023/12/25,21,1435.0
SC1,2023/12/25,22,1395.0
SC1,2023/12/25,23,1633.0
SC1,2023/12/26,0,2072.0
SC1,2023/12/26,1,2176.0
SC1,2023/12/26,2,1323.0
SC1,2023/12/26,3,1940.0
SC1,2023/12/26,4,1888.0
SC1,2023/12/26,5,1217.0
SC1,2023/12/26,6,2.0
SC1,2023/12/26,7,485.0
SC1,2023/12/26,8,784.0
SC1,2023/12/26,9,846.0
SC1,2023/12/26,10,975.0
SC1,2023/12/26,11,1039.0
SC1,2023/12/26,12,1532.0
SC1,2023/12/26,13,2927.0
SC1,2023/12/26,14,25.0
SC1,2023/12/26,15,11.0
SC1,2023/12/26,16,247.0
SC1,2023/12/26,17,248.0
SC1,2023/12/26,18,394.0
SC1,2023/12/26,19,1086.0
SC1,2023/12/26,20,1600.0
SC1,2023/12/26,21,1409.0
SC1,2023/12/26,22,1345.0
SC1,2023/12/26,23,1604.0
SC1,2023/12/27,0,2034.0
SC1,2023/12/27,1,2121.0
SC1,2023/12/27,2,1515.0
SC1,2023/12/27,3,1872.0
SC1,2023/12/27,4,1823.0
SC1,2023/12/27,5,1239.0
SC1,2023/12/27,6,1.0
SC1,2023/12/27,7,462.0
SC1,2023/12/27,8,773.0
SC1,2023/12/27,9,791.0
SC1,2023/12/27,10,850.0
SC1,2023/12/27,11,720.0
SC1,2023/12/27,12,1527.0
SC1,2023/12/27,13,3511.0
SC1,2023/12/27,14,30.0
SC1,2023/12/27,15,9.0
SC1,2023/12/27,16,241.0
SC1,2023/12/27,17,250.0
SC1,2023/12/27,18,368.0
SC1,2023/12/27,19,1064.0
SC1,2023/12/27,20,1615.0
SC1,2023/12/27,21,1376.0
SC1,2023/12/27,22,1319.0
SC1,2023/12/27,23,1580.0
SC1,2023/12/28,0,2069.0
SC1,2023/12/28,1,2093.0
SC1,2023/12/28,2,1588.0
SC1,2023/12/28,3,1831.0
SC1,2023/12/28,4,1745.0
SC1,2023/12/28,5,1240.0
SC1,2023/12/28,6,1.0
SC1,2023/12/28,7,456.0
SC1,2023/12/28,8,792.0
SC1,2023/12/28,9,895.0
SC1,2023/12/28,10,739.0
SC1,2023/12/28,11,1002.0
SC1,2023/12/28,12,1488.0
SC1,2023/12/28,13,3795.0
SC1,2023/12/28,14,25.0
SC1,2023/12/28,15,3.0
SC1,2023/12/28,16,222.0
SC1,2023/12/28,17,241.0
SC1,2023/12/28,18,357.0
SC1,2023/12/28,19,1043.0
SC1,2023/12/28,20,1556.0
SC1,2023/12/28,21,1335.0
SC1,2023/12/28,22,1300.0
SC1,2023/12/28,23,1559.0
SC1,2023/12/29,0,1998.0
SC1,2023/12/29,1,2058.0
SC1,2023/12/29,2,1343.0
SC1,2023/12/29,3,1846.0
SC1,2023/12/29,4,1712.0
SC1,2023/12/29,5,1192.0
SC1,2023/12/29,6,0.0
SC1,2023/12/29,7,427.0
SC1,2023/12/29,8,787.0
SC1,2023/12/29,9,749.0
SC1,2023/12/29,10,887.0
SC1,2023/12/29,11,692.0
SC1,2023/12/29,12,1453.0
SC1,2023/12/29,13,3491.0
SC1,2023/12/29,14,18.0
SC1,2023/12/29,15,11.0
SC1,2023/12/29,16,201.0
SC1,2023/12/29,17,245.0
SC1,2023/12/29,18,353.0
SC1,2023/12/29,19,1035.0
SC1,2023/12/29,20,1506.0
SC1,2023/12/29,21,1297.0
SC1,2023/12/29,22,1253.0
SC1,2023/12/29,23,1536.0
SC1,2023/12/30,0,1936.0
SC1,2023/12/30,1,2050.0
SC1,2023/12/30,2,1732.0
SC1,2023/12/30,3,1777.0
SC1,2023/12/30,4,1730.0
SC1,2023/12/30,5,1129.0
SC1,2023/12/30,6,1.0
SC1,2023/12/30,7,414.0
SC1,2023/12/30,8,776.0
SC1,2023/12/30,9,718.0
SC1,2023/12/30,10,957.0
SC1,2023/12/30,11,963.0
SC1,2023/12/30,12,1425.0
SC1,2023/12/30,13,2945.0
SC1,2023/12/30,14,27.0
SC1,2023/12/30,15,3.0
SC1,2023/12/30,16,192.0
SC1,2023/12/30,17,233.0
SC1,2023/12/30,18,348.0
SC1,2023/12/30,19,1030.0
SC1,2023/12/30,20,1516.0
SC1,2023/12/30,21,1258.0
SC1,2023/12/30,22,1198.0
SC1,2023/12/30,23,1509.0
SC10,2023/12/01,0,5821.0
SC10,2023/12/01,1,1760.0
SC10,2023/12/01,2,2826.0
SC10,2023/12/01,3,2035.0
SC10,2023/12/01,4,2840.0
SC10,2023/12/01,5,2633.0
SC10,2023/12/01,6,896.0
SC10,2023/12/01,7,0.0
SC10,2023/12/01,8,0.0
SC10,2023/12/01,9,0.0
SC10,2023/12/01,10,1226.0
SC10,2023/12/01,11,2563.0
SC10,2023/12/01,12,1655.0
SC10,2023/12/01,13,836.0
SC10,2023/12/01,14,677.0
SC10,2023/12/01,15,0.0
SC10,2023/12/01,16,0.0
SC10,2023/12/01,17,157.0
SC10,2023/12/01,18,975.0
SC10,2023/12/01,19,4827.0
SC10,2023/12/01,20,7830.0
SC10,2023/12/01,21,8285.0
SC10,2023/12/01,22,7750.0
SC10,2023/12/01,23,7903.0
SC10,2023/12/02,0,5983.0
SC10,2023/12/02,1,2193.0
SC10,2023/12/02,2,2734.0
SC10,2023/12/02,3,2495.0
SC10,2023/12/02,4,3469.0
SC10,2023/12/02,5,2233.0
SC10,2023/12/02,6,597.0
SC10,2023/12/02,7,0.0
SC10,2023/12/02,8,0.0
SC10,2023/12/02,9,0.0
SC10,2023/12/02,10,1404.0
SC10,2023/12/02,11,2816.0
SC10,2023/12/02,12,1739.0
SC10,2023/12/02,13,1236.0
SC10,2023/12/02,14,701.0
SC10,2023/12/02,15,0.0
SC10,2023/12/02,16,0.0
SC10,2023/12/02,17,180.0
SC10,2023/12/02,18,1196.0
SC10,2023/12/02,19,4421.0
SC10,2023/12/02,20,7918.0
SC10,2023/12/02,21,8441.0
SC10,2023/12/02,22,6528.0
SC10,2023/12/02,23,7475.0
SC10,2023/12/03,0,5985.0
SC10,2023/12/03,1,3692.0
SC10,2023/12/03,2,2544.0
SC10,2023/12/03,3,2377.0
SC10,2023/12/03,4,3115.0
SC10,2023/12/03,5,2721.0
SC10,2023/12/03,6,292.0
SC10,2023/12/03,7,0.0
SC10,2023/12/03,8,0.0
SC10,2023/12/03,9,0.0
SC10,2023/12/03,10,1612.0
SC10,2023/12/03,11,2827.0
SC10,2023/12/03,12,1595.0
SC10,2023/12/03,13,607.0
SC10,2023/12/03,14,798.0
SC10,2023/12/03,15,0.0
SC10,2023/12/03,16,0.0
SC10,2023/12/03,17,143.0
SC10,2023/12/03,18,1243.0
SC10,2023/12/03,19,4516.0
SC10,2023/12/03,20,8079.0
SC10,2023/12/03,21,8332.0
SC10,2023/12/03,22,8359.0
